url,url_total_clicks,url_total_impressions,url_ctr_percent,url_avg_position,num_queries_conocidas,top_query,top_query_clicks,top_query_impressions,top_query_ctr_percent,top_query_position,pct_clicks_from_top_query_all,pct_imps_from_top_query_all
https://www.pccomponentes.com/televisores/55-pulgadas/mini-led,65,1232,5.28,2.3,62,televisor mini led 55 pulgadas,7.0,38.0,18.42,0.3,10.8,3.1
https://www.pccomponentes.com/mejores-televisores-4k-samsung,64,3865,1.66,15.6,254,cual es la mejor tele de samsung,2.0,7.0,28.57,0.3,3.1,0.2
https://www.pccomponentes.com/televisores/75-pulgadas/mini-led,62,1449,4.28,5.0,88,tv 75 pulgadas mini led,9.0,101.0,8.91,0.6,14.5,7.0
https://www.pccomponentes.com/miniled-televisores-monitores,62,2529,2.45,3.6,161,mini led,17.0,321.0,5.3,1.0,27.4,12.7
https://www.pccomponentes.com/lg-ai-magic-remote-mr25ga-mando-a-distancia-para-televisores-lg,62,1938,3.2,6.2,114,lg mr25ga,6.0,32.0,18.75,2.6,9.7,1.7
https://www.pccomponentes.com/qd-oled-vs-oled-televisores,61,2387,2.56,2.6,189,qd oled vs oled,7.0,93.0,7.53,2.1,11.5,3.9
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd,61,5481,1.11,6.2,328,tv 4k,9.0,743.0,1.21,4.7,14.8,13.6
https://www.pccomponentes.com/televisores/43-pulgadas/qled,60,3152,1.9,6.9,267,tv 43 pulgadas qled,6.0,79.0,7.59,1.8,10.0,2.5
https://www.pccomponentes.com/televisores/1920-x-1080-full-hd/32-pulgadas,59,1472,4.01,3.3,123,smart tv 32 pulgadas full hd,5.0,46.0,10.87,1.8,8.5,3.1
https://www.pccomponentes.com/televisores/48-pulgadas/oled,57,1978,2.88,6.1,69,tv 48 pulgadas,8.0,498.0,1.61,5.0,14.0,25.2
https://www.pccomponentes.com/mejores-televisores-para-ver-netflix-hbo,56,1705,3.28,5.9,54,tv con netflix,2.0,17.0,11.76,7.4,3.6,1.0
https://www.pccomponentes.com/cuanto-dura-garantia-televisores-samsung,55,5332,1.03,3.2,246,garantia samsung tv,4.0,44.0,9.09,3.7,7.3,0.8
https://www.pccomponentes.com/televisores/32-pulgadas/lg,55,8365,0.66,8.4,397,tv lg 32 pulgadas,4.0,704.0,0.57,8.1,7.3,8.4
https://www.pccomponentes.com/televisores/55-pulgadas/lg,54,9114,0.59,8.5,336,tv lg 55 pulgadas,12.0,1578.0,0.76,8.9,22.2,17.3
https://www.pccomponentes.com/televisores/tesla,54,1880,2.87,3.8,80,tv tesla,10.0,291.0,3.44,2.3,18.5,15.5
https://www.pccomponentes.com/televisores/32-pulgadas/samsung,54,10652,0.51,9.7,502,televisores samsung 32 pulgadas,4.0,132.0,3.03,9.2,7.4,1.2
https://www.pccomponentes.com/comparador/televisores/televisor-lg-55-oled-vs-tv-samsung-55-oled,53,652,8.13,4.9,46,samsung oled 55 vs lg oled 55,2.0,2.0,100.0,0.0,3.8,0.3
https://www.pccomponentes.com/mejores-televisores-oled-65-pulgadas,51,1804,2.83,23.6,104,mejor tv oled 2025,2.0,6.0,33.33,5.8,3.9,0.3
https://www.pccomponentes.com/televisores/lg/oled,51,5250,0.97,6.9,440,lg oled,8.0,946.0,0.85,6.2,15.7,18.0
https://www.pccomponentes.com/televisores/55-pulgadas/samsung,50,15391,0.32,7.9,458,tv samsung 55,12.0,2501.0,0.48,7.3,24.0,16.2
https://www.pccomponentes.com/televisores/ambilight/philips,49,5194,0.94,4.9,277,philips ambilight,15.0,1429.0,1.05,3.1,30.6,27.5
https://www.pccomponentes.com/mejores-televisores-tesla,46,1760,2.61,5.1,67,tv tesla opiniones,3.0,57.0,5.26,3.7,6.5,3.2
https://www.pccomponentes.com/televisores/43-pulgadas/lg,46,6500,0.71,6.9,341,lg 43 pulgadas,9.0,593.0,1.52,6.1,19.6,9.1
https://www.pccomponentes.com/govee-tv-backlight-3-lite-tira-led-rgbic-w-wifi-bluetooth-con-camara-para-televisores-de-55-65,46,2134,2.16,7.8,161,govee tv backlight 3 lite,8.0,632.0,1.27,8.1,17.4,29.6
